City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,42.55,68,7,4.0,US,1702325191
1,carnarvon,-24.8667,113.6333,74.86,58,0,7.29,AU,1702325191
2,papatowai,-46.5619,169.4708,47.79,70,54,19.91,NZ,1702325192
3,lakheri,25.6667,76.1667,61.57,45,0,2.93,IN,1702325192
4,afaahiti,-17.75,-149.2833,82.27,80,92,22.41,PF,1702325192
5,san antonio de pale,-1.4014,5.6325,77.13,88,100,4.81,GQ,1702325095
6,waitangi,-43.9535,-176.5597,57.81,88,100,8.01,NZ,1702325192
7,carutapera,-1.195,-46.02,83.71,69,35,10.49,BR,1702325193
8,bamboo flat,11.7,92.7167,82.49,78,40,2.3,IN,1702325062
9,grytviken,-54.2811,-36.5092,39.13,74,54,12.93,GS,1702325193
10,port mathurin,-19.6833,63.4167,79.05,75,100,7.43,MU,1702325194
11,jamestown,42.097,-79.2353,32.56,87,100,13.8,US,1702325022
12,susuman,62.7833,148.1667,-7.02,96,100,5.01,RU,1702325194
13,klyuchi,52.2667,79.1667,-10.97,87,17,13.42,RU,1702325194
14,perryton,36.4,-100.8027,57.2,21,0,3.44,US,1702325194
15,kendari,-3.945,122.4989,76.77,93,98,1.59,ID,1702325194
16,poronaysk,49.2167,143.1167,-0.18,88,16,5.35,RU,1702324927
17,ouargla,31.9493,5.325,64.47,29,0,9.22,DZ,1702325195
18,edinburgh of the seven seas,-37.0676,-12.3116,56.59,86,100,20.47,SH,1702325195
19,uyuni,-20.4597,-66.825,66.11,33,100,5.59,BO,1702325195
20,bozoum,6.3193,16.3799,73.65,28,100,3.74,CF,1702325195
21,college,64.8569,-147.8028,9.46,90,100,6.58,US,1702324803
22,namibe,-15.1961,12.1522,72.46,69,39,5.26,AO,1702325002
23,sabang,5.8933,95.3214,80.6,78,79,1.43,ID,1702324955
24,ko pha ngan,9.7578,100.0291,77.68,77,60,8.41,TH,1702325196
25,altamira,-3.2033,-52.2064,89.69,55,75,3.44,BR,1702325196
26,ushuaia,-54.8,-68.3,53.26,40,0,5.75,AR,1702325197
27,whitehorse,60.7161,-135.0538,27.37,80,75,18.41,CA,1702324913
28,port-aux-francais,-49.35,70.2167,41.85,96,98,19.39,TF,1702325197
29,pandan,14.0453,124.1694,78.98,86,68,9.73,PH,1702325197
30,olonkinbyen,70.9221,-8.7187,31.91,98,100,16.55,SJ,1702325197
31,kuala belait,4.5833,114.1833,77.16,90,3,4.5,BN,1702325198
